cif,formula,energy
Ag2P4Se3Cl2_6_364.vasp,Ag2P4Se3Cl2,-21.47559266
Ag2P4Se3F2_6_365.vasp,Ag2P4Se3F2,-23.02327467
Ag2P4Se3I2_6_366.vasp,Ag2P4Se3I2,-19.57283744
Ag2Pb8Cl2O8_85_367.vasp,Ag2Pb8Cl2O8,-52.19740882
Ag2Pd1O2_47_368.vasp,Ag2Pd1O2,-6.68128072
Ag2Pd2I6O18_2_369.vasp,Ag2Pd2I6O18,-64.9761772
Ag2Pt1C4O10_10_370.vasp,Ag2Pt1C4O10,-73.89633048
Ac1Se3_191_1.vasp,Ac1Se3,-9.36158321
Ag1As1I2O2_1_2.vasp,Ag1As1I2O2,-10.02470672
Ag1As1Se2Cl2_1_3.vasp,Ag1As1Se2Cl2,-7.70593124
Ag1Au1Br2_5_4.vasp,Ag1Au1Br2,1.07685908
Ag1Au1Br4_1_5.vasp,Ag1Au1Br4,0.95755741
Ag1Au1Cl2F3_1_6.vasp,Ag1Au1Cl2F3,-2.39493432
Ag1Au1F6_1_7.vasp,Ag1Au1F6,-5.25215839
Ag1Au1I1Br1O2_1_8.vasp,Ag1Au1I1Br1O2,-3.90878851
Ag1Au1I4_1_9.vasp,Ag1Au1I4,3.66558564
Ag1Au1S1Br2_1_10.vasp,Ag1Au1S1Br2,-1.38575305
Ag1Au1S2_25_12.vasp,Ag1Au1S2,-2.37880588
Ag1Au1S2I1Br1_1_11.vasp,Ag1Au1S2I1Br1,-3.49570019
Ag1Au1Se1S1I2_1_13.vasp,Ag1Au1Se1S1I2,-0.96869904
Ag1Au1Se2_25_14.vasp,Ag1Au1Se2,-1.67158165
Ag1Au2Se2Br2_1_15.vasp,Ag1Au2Se2Br2,-1.26507562
Ag1Au2Se3Br1_1_16.vasp,Ag1Au2Se3Br1,-2.56290977
Ag1B6C6S2F4_6_17.vasp,Ag1B6C6S2F4,-86.7739648
Ag1B6H4N6O2_6_18.vasp,Ag1B6H4N6O2,-99.23940935
Ag1B6H4S2N6_6_19.vasp,Ag1B6H4S2N6,-91.95627639
Ag1B6S2N6F4_6_20.vasp,Ag1B6S2N6F4,-93.46320431
Ag1Bi1As2S6_143_21.vasp,Ag1Bi1As2S6,-22.99412481
Ag1Bi1As2Se6_143_22.vasp,Ag1Bi1As2Se6,-18.66954755
Ag1Bi1P2S6_143_23.vasp,Ag1Bi1P2S6,-26.81910734
Ag1Bi1P2Se6_143_24.vasp,Ag1Bi1P2Se6,-21.42675377
Ag1Bi1Sb2S6_143_25.vasp,Ag1Bi1Sb2S6,-20.72735337
Ag1Bi1Sb2Se6_143_26.vasp,Ag1Bi1Sb2Se6,-16.72400601
Ag1Bi1Sb2Te6_143_27.vasp,Ag1Bi1Sb2Te6,-11.64289348
Ag1Bi1Te6As2_143_28.vasp,Ag1Bi1Te6As2,-13.49727764
Ag1Bi2_10_31.vasp,Ag1Bi2,-0.70870908
Ag1Bi2F12_2_30.vasp,Ag1Bi2F12,-24.54511603
Ag1Br1_187_34.vasp,Ag1Br1,0.66301086
Ag1Br1O2_1_32.vasp,Ag1Br1O2,-5.69410987
Ag1Br1O4_81_33.vasp,Ag1Br1O4,-10.10433801
Ag1Br2_115_38.vasp,Ag1Br2,0.89453941
Ag1Br2_164_36.vasp,Ag1Br2,0.62328063
Ag1Br2_187_37.vasp,Ag1Br2,0.88554409
Ag1Br2F1_47_35.vasp,Ag1Br2F1,-0.21953974
Ag1C12S2F4_6_39.vasp,Ag1C12S2F4,-92.81146489
Ag1C1N1O1_25_40.vasp,Ag1C1N1O1,-15.41485259
Ag1C2S2O6F6_2_41.vasp,Ag1C2S2O6F6,-60.29813458
Ag1C4S8N4_81_42.vasp,Ag1C4S8N4,-71.70272872
Ag1C6N4O2_5_43.vasp,Ag1C6N4O2,-76.81335593
Ag1C6N6O2F4_6_44.vasp,Ag1C6N6O2F4,-101.19702731
Ag1Cl1_187_47.vasp,Ag1Cl1,0.17780612
Ag1Cl1O2_1_45.vasp,Ag1Cl1O2,-6.17608178
Ag1Cl1O4_111_46.vasp,Ag1Cl1O4,-11.70576616
Ag1Cl2_115_50.vasp,Ag1Cl2,0.22554873
Ag1Cl2_164_48.vasp,Ag1Cl2,-0.11359003
Ag1Cl2_187_49.vasp,Ag1Cl2,0.18924406
Ag1F2_115_54.vasp,Ag1F2,-1.84524354
Ag1F2_164_52.vasp,Ag1F2,-1.76902297
Ag1F2_187_53.vasp,Ag1F2,-1.21234732
Ag1Ge1Cl2_6_55.vasp,Ag1Ge1Cl2,-4.21228999
Ag1Ge1Cl6_1_56.vasp,Ag1Ge1Cl6,-7.53654647
Ag1Ge1F6_2_57.vasp,Ag1Ge1F6,-16.16058005
Ag1Ge1H6_2_58.vasp,Ag1Ge1H6,-18.12240471
Ag1Ge1I1Br1O2_6_59.vasp,Ag1Ge1I1Br1O2,-12.1586645
Ag1Ge1I2_6_60.vasp,Ag1Ge1I2,-1.89136229
Ag1Ge1Pb1Se1S1Br1_1_61.vasp,Ag1Ge1Pb1Se1S1Br1,-9.69392522
Ag1Ge1S1I1_8_62.vasp,Ag1Ge1S1I1,-4.99515413
Ag1Ge1Se1Cl3_1_63.vasp,Ag1Ge1Se1Cl3,-7.51570039
Ag1Ge1Se2I1Br1_1_64.vasp,Ag1Ge1Se2I1Br1,-5.64705078
Ag1Ge1Te1Cl1_6_65.vasp,Ag1Ge1Te1Cl1,-4.43418489
Ag1Ge2Se2_1_66.vasp,Ag1Ge2Se2,-9.15351109
Ag1Ge3Br8_1_67.vasp,Ag1Ge3Br8,-13.85519798
Ag1H1Br2_1_68.vasp,Ag1H1Br2,-3.0116811
Ag1H2_123_72.vasp,Ag1H2,-4.12474636
Ag1H2_187_71.vasp,Ag1H2,-3.95246445
Ag1H2O2_164_69.vasp,Ag1H2O2,-14.68986315
Ag1H2S2_12_70.vasp,Ag1H2S2,-10.62537933
Ag1H4C12O2_6_73.vasp,Ag1H4C12O2,-105.18962691
Ag1H4C12S2_6_74.vasp,Ag1H4C12S2,-100.13301346
Ag1H4C6N6O2_6_75.vasp,Ag1H4C6N6O2,-107.97260124
Ag1H4C6S2N6_6_76.vasp,Ag1H4C6S2N6,-103.05932371
Ag1H4N12O2_6_77.vasp,Ag1H4N12O2,-91.5923553
Ag1H4S2N12_6_78.vasp,Ag1H4S2N12,-88.54240575
Ag1H6Pb1_8_79.vasp,Ag1H6Pb1,-14.38446329
Ag1Hg1Se4_1_80.vasp,Ag1Hg1Se4,-3.61309783
Ag1Hg3_191_81.vasp,Ag1Hg3,9.96727721
Ag1I1_156_82.vasp,Ag1I1,1.2009434
Ag1I2_115_85.vasp,Ag1I2,1.68065623
Ag1I2_164_83.vasp,Ag1I2,1.56450986
Ag1I2_187_84.vasp,Ag1I2,1.77099678
Ag1Mo1Br4_2_86.vasp,Ag1Mo1Br4,-4.86211411
Ag1N1O2_25_87.vasp,Ag1N1O2,-12.86286929
Ag1N1O3_143_88.vasp,Ag1N1O3,-16.86762721
Ag1N2_10_89.vasp,Ag1N2,-11.13429876
Ag1O2_115_91.vasp,Ag1O2,-3.50457282
Ag1O2_47_92.vasp,Ag1O2,-3.58646907
Ag1O2F2_12_90.vasp,Ag1O2F2,-5.57173711
Ag1Os1S2_6_95.vasp,Ag1Os1S2,-8.5947514
Ag1Os1S2Br2_6_93.vasp,Ag1Os1S2Br2,-10.05777681
Ag1Os1S2I1Br1_1_94.vasp,Ag1Os1S2I1Br1,-9.38593532
Ag1P2_10_96.vasp,Ag1P2,-5.94966462
Ag1Pb1F6_2_97.vasp,Ag1Pb1F6,-11.34440875
Ag1Pb1I4_10_98.vasp,Ag1Pb1I4,-0.19502486
Ag1Pb1Se1I1_1_99.vasp,Ag1Pb1Se1I1,-2.34689144
Ag1Pb1Se2_1_100.vasp,Ag1Pb1Se2,-4.00430731
Ag1Pd1Br1Cl5_1_101.vasp,Ag1Pd1Br1Cl5,-2.65611512
Ag1Pd2S4_187_103.vasp,Ag1Pd2S4,-12.01837146
Ag1Pt1Br6_1_104.vasp,Ag1Pt1Br6,-1.90306052
Ag1Pt1F5_1_105.vasp,Ag1Pt1F5,-8.1494103
Ag1Pt1Se2_1_106.vasp,Ag1Pt1Se2,-3.54828748
Ag1Rh1S2I2_6_107.vasp,Ag1Rh1S2I2,-6.39120114
Ag1Rh1Se1S1I1Br1_1_108.vasp,Ag1Rh1Se1S1I1Br1,-6.51116091
Ag1S1Br1Cl1_1_109.vasp,Ag1S1Br1Cl1,-2.12017338
Ag1S1I1Br1_1_110.vasp,Ag1S1I1Br1,-1.21346669
Ag1S2_115_112.vasp,Ag1S2,-3.25635008
Ag1S2_12_113.vasp,Ag1S2,-2.76891267
Ag1S2_187_114.vasp,Ag1S2,-3.20649007
Ag1S2F2_12_111.vasp,Ag1S2F2,-6.43314732
Ag1Sb1As2Se6_143_116.vasp,Ag1Sb1As2Se6,-19.25546531
Ag1Sb1H2C2N2F6_10_117.vasp,Ag1Sb1H2C2N2F6,-51.57055564
Ag1Sb1P2S6_143_118.vasp,Ag1Sb1P2S6,-27.36009586
Ag1Sb1P2Se6_143_119.vasp,Ag1Sb1P2Se6,-22.00066084
Ag1Sb1Te6As2_143_120.vasp,Ag1Sb1Te6As2,-14.20322029
Ag1Sb1Te6P2_143_121.vasp,Ag1Sb1Te6P2,-16.15887463
Ag1Sb2F12_2_122.vasp,Ag1Sb2F12,-31.96623996
Ag1Sb3S6_143_123.vasp,Ag1Sb3S6,-21.29770628
Ag1Sb3Se6_143_124.vasp,Ag1Sb3Se6,-17.12326834
Ag1Sb3Te6_143_125.vasp,Ag1Sb3Te6,-12.33441909
Ag1Se1Br2_6_126.vasp,Ag1Se1Br2,-0.4421695
Ag1Se1Cl1_1_127.vasp,Ag1Se1Cl1,-1.14558897
Ag1Se1I2_1_128.vasp,Ag1Se1I2,-0.08197264
Ag1Se2_12_129.vasp,Ag1Se2,-2.39816581
Ag1Se2_187_130.vasp,Ag1Se2,-2.00759357
Ag1Sn1F6_2_131.vasp,Ag1Sn1F6,-14.47448284
Ag1Sn1H6_2_132.vasp,Ag1Sn1H6,-16.02090075
Ag1Sn1S1I2_1_133.vasp,Ag1Sn1S1I2,-3.62547429
Ag1Sn1S2Br2_8_134.vasp,Ag1Sn1S2Br2,-6.62075893
Ag1Sn1S2I1Br1_1_135.vasp,Ag1Sn1S2I1Br1,-6.22912555
Ag1Sn1Se3Br1_1_136.vasp,Ag1Sn1Se3Br1,-7.09435294
Ag1Sn2S3I2_6_137.vasp,Ag1Sn2S3I2,-10.66205466
Ag1Te1Au1I1_6_138.vasp,Ag1Te1Au1I1,0.80644228
Ag1Te1Cl1_1_139.vasp,Ag1Te1Cl1,-0.95330504
Ag1Te1I1_1_140.vasp,Ag1Te1I1,0.1919386
Ag1Te1Pb1I1_1_141.vasp,Ag1Te1Pb1I1,-1.51471736
Ag1Te1S1_1_142.vasp,Ag1Te1S1,-2.15524071
Ag1Te1Se1_6_143.vasp,Ag1Te1Se1,-1.91420286
Ag1Te2_12_145.vasp,Ag1Te2,-1.16994651
Ag1Te2_164_146.vasp,Ag1Te2,-1.16056026
Ag1Te2_187_147.vasp,Ag1Te2,-0.81257379
Ag1Te2Au1_25_144.vasp,Ag1Te2Au1,-0.71547104
Ag1Te6Mo6_12_148.vasp,Ag1Te6Mo6,-29.77037879
Ag1W1S2I2_1_150.vasp,Ag1W1S2I2,-10.43472417
Ag1W1Se1Br5_1_151.vasp,Ag1W1Se1Br5,-9.47926292
Ag1Xe2F4_21_152.vasp,Ag1Xe2F4,2.97895038
Ag2_164_494.vasp,Ag2,2.37281196
Ag2As2O4_26_153.vasp,Ag2As2O4,-23.543732
Ag2As2O6_162_154.vasp,Ag2As2O6,-29.80853696
Ag2As2O6_2_155.vasp,Ag2As2O6,-29.00819036
Ag2As2S4_26_156.vasp,Ag2As2S4,-15.34461201
Ag2As2S6_2_157.vasp,Ag2As2S6,-19.32217553
Ag2As2Se4_26_158.vasp,Ag2As2Se4,-12.1113824
Ag2As2Se6_2_160.vasp,Ag2As2Se6,-15.2107147
Ag2As2Se6F12_10_159.vasp,Ag2As2Se6F12,-44.49029834
Ag2As4Br2O3_6_161.vasp,Ag2As4Br2O3,-25.82858653
Ag2As4Cl2O3_6_162.vasp,Ag2As4Cl2O3,-26.71054055
Ag2As4O3F2_6_163.vasp,Ag2As4O3F2,-28.024228
Ag2As4S12_10_164.vasp,Ag2As4S12,-39.09241702
Ag2As4S3Br2_6_165.vasp,Ag2As4S3Br2,-19.78810188
Ag2As4S3Cl2_6_166.vasp,Ag2As4S3Cl2,-20.65168991
Ag2As4S3F2_6_167.vasp,Ag2As4S3F2,-22.11300165
Ag2As4S3I2_6_168.vasp,Ag2As4S3I2,-18.69323722
Ag2As4Se3Br2_6_169.vasp,Ag2As4Se3Br2,-17.29519214
Ag2As4Se3Cl2_6_170.vasp,Ag2As4Se3Cl2,-18.15575947
Ag2As4Se3F2_6_171.vasp,Ag2As4Se3F2,-19.6583046
Ag2As4Se3I2_6_172.vasp,Ag2As4Se3I2,-16.23414967
Ag2Au2Cl8_13_173.vasp,Ag2Au2Cl8,-1.75451231
Ag2Au2F8_2_174.vasp,Ag2Au2F8,-8.0385889
Ag2Au2I8_1_175.vasp,Ag2Au2I8,6.08728962
Ag2Au4S4_7_176.vasp,Ag2Au4S4,-5.01165427
Ag2B2Br2O2_31_177.vasp,Ag2B2Br2O2,-19.95895129
Ag2B2F8_26_178.vasp,Ag2B2F8,-36.10346355
Ag2B2I2O2_31_179.vasp,Ag2B2I2O2,-18.09834942
Ag2B2O2F2_31_180.vasp,Ag2B2O2F2,-22.87631246
Ag2B2S2Br2_31_181.vasp,Ag2B2S2Br2,-14.25025192
Ag2B2S2Cl2_31_182.vasp,Ag2B2S2Cl2,-12.95426561
Ag2B2S2I2_31_183.vasp,Ag2B2S2I2,-11.1035054
Ag2B4Br2N2F4_2_184.vasp,Ag2B4Br2N2F4,-50.42279066
Ag2B4C2I2F4_2_185.vasp,Ag2B4C2I2F4,-48.10913718
Ag2B4H4Br2N2_2_186.vasp,Ag2B4H4Br2N2,-50.24276711
Ag2B4H4I2N2_1_187.vasp,Ag2B4H4I2N2,-49.06939844
Ag2B4I2N2F4_2_188.vasp,Ag2B4I2N2F4,-49.49467801
Ag2B4N2Cl2F4_2_189.vasp,Ag2B4N2Cl2F4,-51.16213443
Ag2B6H8I2N2_1_190.vasp,Ag2B6H8I2N2,-74.53200519
Ag2Bi2O4_10_191.vasp,Ag2Bi2O4,-19.1193401
Ag2Bi2O4_11_192.vasp,Ag2Bi2O4,-20.36823612
Ag2Bi2O4_51_193.vasp,Ag2Bi2O4,-19.16260646
Ag2Bi2P4S12_2_194.vasp,Ag2Bi2P4S12,-53.19555283
Ag2Bi2S2Cl4_51_195.vasp,Ag2Bi2S2Cl4,-11.27952129
Ag2Bi2S4_26_196.vasp,Ag2Bi2S4,-11.86720647
Ag2Bi2Se4_26_197.vasp,Ag2Bi2Se4,-8.92176571
Ag2Bi2Te4_26_198.vasp,Ag2Bi2Te4,-5.34087844
Ag2Br1Cl3_1_199.vasp,Ag2Br1Cl3,-0.23717731
Ag2Br2_129_202.vasp,Ag2Br2,0.73453899
Ag2Br2_164_203.vasp,Ag2Br2,0.64033169
Ag2Br2_67_205.vasp,Ag2Br2,0.85099726
Ag2Br2N2_59_200.vasp,Ag2Br2N2,-5.60450199
Ag2Br2O2_59_201.vasp,Ag2Br2O2,-4.37524871
Ag2Br4_14_207.vasp,Ag2Br4,1.11833678
Ag2Br6_162_208.vasp,Ag2Br6,2.34563733
Ag2Br6_191_209.vasp,Ag2Br6,3.23979097
Ag2C2Br2O2_31_211.vasp,Ag2C2Br2O2,-23.79045268
Ag2C2Cl2O2_31_212.vasp,Ag2C2Cl2O2,-24.8395996
Ag2C2I2N4F4_2_213.vasp,Ag2C2I2N4F4,-36.87030576
Ag2C2I2O2_31_214.vasp,Ag2C2I2O2,-22.53293522
Ag2C2N2O2_11_215.vasp,Ag2C2N2O2,-36.28708776
Ag2C2N2O2_129_216.vasp,Ag2C2N2O2,-31.62766857
Ag2C2N4Cl2F4_2_217.vasp,Ag2C2N4Cl2F4,-38.63847928
Ag2C2O2F2_31_218.vasp,Ag2C2O2F2,-26.80318359
Ag2C2O4_2_219.vasp,Ag2C2O4,-33.07783246
Ag2C2S2Br2_31_220.vasp,Ag2C2S2Br2,-15.70668101
Ag2C2S2Cl2_31_221.vasp,Ag2C2S2Cl2,-16.84542731
Ag2C2S2F2_31_222.vasp,Ag2C2S2F2,-18.71196239
Ag2C2S2I2_31_223.vasp,Ag2C2S2I2,-14.46996418
Ag2C2S2N2_31_224.vasp,Ag2C2S2N2,-30.69439407
Ag2C2S2O6F6_147_225.vasp,Ag2C2S2O6F6,-60.42806414
Ag2C2S4O12F6_7_226.vasp,Ag2C2S4O12F6,-93.98930043
Ag2C4Br2N2F4_2_227.vasp,Ag2C4Br2N2F4,-51.3468305
Ag2C4N2Cl2F4_2_228.vasp,Ag2C4N2Cl2F4,-52.21257302
Ag2C4O8F4_14_229.vasp,Ag2C4O8F4,-76.52411104
Ag2C4S8F4_2_230.vasp,Ag2C4S8F4,-54.16125831
Ag2C6Cl2F4_2_232.vasp,Ag2C6Cl2F4,-51.39356329
Ag2C6I2F4_2_233.vasp,Ag2C6I2F4,-48.93016921
Ag2C6N8O10_2_235.vasp,Ag2C6N8O10,-134.3989071
Ag2C8Br4O4_2_236.vasp,Ag2C8Br4O4,-79.05256095
Ag2C8Cl2F8_2_237.vasp,Ag2C8Cl2F8,-76.03671979
Ag2C8I2F8_2_238.vasp,Ag2C8I2F8,-73.72579352
Ag2C8N6_31_239.vasp,Ag2C8N6,-95.5368168
Ag2Cl2_129_245.vasp,Ag2Cl2,-0.00279315
Ag2Cl2_164_246.vasp,Ag2Cl2,-0.1518406
Ag2Cl2_51_247.vasp,Ag2Cl2,-0.17586779
Ag2Cl2_67_248.vasp,Ag2Cl2,-0.01909087
Ag2Cl2O2_59_240.vasp,Ag2Cl2O2,-5.1041645
Ag2Cl2O4_11_241.vasp,Ag2Cl2O4,-11.83815615
Ag2Cl2O4_11_242.vasp,Ag2Cl2O4,-11.98341734
Ag2Cl2O4_1_244.vasp,Ag2Cl2O4,-9.96883969
Ag2Cl2O4_67_243.vasp,Ag2Cl2O4,-9.70308707
Ag2Cl4_14_250.vasp,Ag2Cl4,-0.5380361
Ag2Cl4O12_4_249.vasp,Ag2Cl4O12,-36.17429039
Ag2Cl6_162_251.vasp,Ag2Cl6,0.41920291
Ag2Cl6_191_252.vasp,Ag2Cl6,1.32799297
Ag2F2_1_255.vasp,Ag2F2,-1.74962627
Ag2F2_129_253.vasp,Ag2F2,-1.22038441
Ag2F2_164_254.vasp,Ag2F2,-1.4089532
Ag2F2_2_256.vasp,Ag2F2,-1.74440833
Ag2F2_51_257.vasp,Ag2F2,-1.74618232
Ag2F2_67_258.vasp,Ag2F2,-1.13376352
Ag2F4_14_259.vasp,Ag2F4,-3.92368978
Ag2F6_162_261.vasp,Ag2F6,-4.16841565
Ag2F6_191_260.vasp,Ag2F6,-2.65036197
Ag2Ge2O6_1_262.vasp,Ag2Ge2O6,-33.10771984
Ag2Ge2O6_51_263.vasp,Ag2Ge2O6,-33.15715287
Ag2Ge2S6_51_264.vasp,Ag2Ge2S6,-21.5826302
Ag2H12C16N8_2_265.vasp,Ag2H12C16N8,-215.91269209
Ag2H12C6S2N4_2_266.vasp,Ag2H12C6S2N4,-120.74217525
Ag2H2_129_270.vasp,Ag2H2,-3.28565704
Ag2H2_164_268.vasp,Ag2H2,-3.77047738
Ag2H2_2_269.vasp,Ag2H2,-3.75497083
Ag2H2O4_1_267.vasp,Ag2H2O4,-20.23010088
Ag2H4_2_282.vasp,Ag2H4,-8.48737516
Ag2H4Br2N6_1_271.vasp,Ag2H4Br2N6,-49.42649018
Ag2H4C4Br2N2_2_272.vasp,Ag2H4C4Br2N2,-58.18130626
Ag2H4C4I2N2_2_273.vasp,Ag2H4C4I2N2,-56.99549968
Ag2H4C4N2Cl2_2_274.vasp,Ag2H4C4N2Cl2,-59.10958229
Ag2H4C4O8_14_275.vasp,Ag2H4C4O8,-81.47037849
Ag2H4C4S4N4Cl2_4_276.vasp,Ag2H4C4S4N4Cl2,-82.57311789
Ag2H4C4S8_2_277.vasp,Ag2H4C4S8,-60.37902004
Ag2H4C6Br2_1_278.vasp,Ag2H4C6Br2,-57.14699045
Ag2H4C6Cl2_2_279.vasp,Ag2H4C6Cl2,-58.11742432
Ag2H4C6I2_2_280.vasp,Ag2H4C6I2,-55.88617114
Ag2H4I2N6_2_281.vasp,Ag2H4I2N6,-48.25888523
Ag2H6Br2N2_11_283.vasp,Ag2H6Br2N2,-36.04288321
Ag2H6C2N4_11_284.vasp,Ag2H6C2N4,-62.09548128
Ag2H8C10S2N2O6_1_286.vasp,Ag2H8C10S2N2O6,-151.13961224
Ag2H8C12N10_2_287.vasp,Ag2H8C12N10,-185.77145747
Ag2H8C12N6O6_2_288.vasp,Ag2H8C12N6O6,-192.70637412
Ag2H8C14N8_2_289.vasp,Ag2H8C14N8,-187.63388242
Ag2H8C2N8_2_290.vasp,Ag2H8C2N8,-93.42763668
Ag2H8C6Br2N2_2_291.vasp,Ag2H8C6Br2N2,-89.08449242
Ag2H8C6I2N2_2_292.vasp,Ag2H8C6I2N2,-88.00602228
Ag2H8C6N2Cl2_2_293.vasp,Ag2H8C6N2Cl2,-89.93561119
Ag2H8C8Br2_2_294.vasp,Ag2H8C8Br2,-87.61426001
Ag2H8C8I2_2_295.vasp,Ag2H8C8I2,-86.45907843
Ag2I1Br3_1_309.vasp,Ag2I1Br3,1.66925704
Ag2Hg2As2S6_7_296.vasp,Ag2Hg2As2S6,-15.32503138
Ag2Hg2S2Br2_26_297.vasp,Ag2Hg2S2Br2,0.15081204
Ag2Hg2S2Cl2_26_298.vasp,Ag2Hg2S2Cl2,-0.75655499
Ag2Hg2S2F2_26_299.vasp,Ag2Hg2S2F2,-2.48271633
Ag2Hg2S2I2_26_300.vasp,Ag2Hg2S2I2,1.30681387
Ag2Hg2Se2Br2_26_301.vasp,Ag2Hg2Se2Br2,1.44482963
Ag2Hg2Se2Cl2_26_302.vasp,Ag2Hg2Se2Cl2,0.53089499
Ag2Hg2Se2F2_26_303.vasp,Ag2Hg2Se2F2,-1.20893394
Ag2Hg2Se2I2_26_304.vasp,Ag2Hg2Se2I2,2.60950193
Ag2Hg2Te2Br2_26_305.vasp,Ag2Hg2Te2Br2,2.85651478
Ag2Hg2Te2Cl2_26_306.vasp,Ag2Hg2Te2Cl2,1.92696528
Ag2Hg2Te2F2_26_307.vasp,Ag2Hg2Te2F2,0.17744717
Ag2Hg2Te2I2_26_308.vasp,Ag2Hg2Te2I2,4.05613001
Ag2I1O6_162_310.vasp,Ag2I1O6,-17.50853464
Ag2I2_129_315.vasp,Ag2I2,1.68348268
Ag2I2_164_316.vasp,Ag2I2,1.61586274
Ag2I2_51_317.vasp,Ag2I2,2.0766926
Ag2I2_67_318.vasp,Ag2I2,1.96508317
Ag2I2Br4_1_311.vasp,Ag2I2Br4,2.2929169
Ag2I2N2_2_312.vasp,Ag2I2N2,-5.37957368
Ag2I2N2_59_313.vasp,Ag2I2N2,-4.42606118
Ag2I2O2_59_314.vasp,Ag2I2O2,-3.58425599
Ag2I4_14_320.vasp,Ag2I4,3.06495536
Ag2I4O12_4_319.vasp,Ag2I4O12,-39.52014619
Ag2I6_162_321.vasp,Ag2I6,4.6563584
Ag2I6_191_322.vasp,Ag2I6,5.48724511
Ag2Ir2F14_26_323.vasp,Ag2Ir2F14,-26.13573687
Ag2Mo1O4_111_324.vasp,Ag2Mo1O4,-20.77825384
Ag2Mo1O4_1_325.vasp,Ag2Mo1O4,-21.06299634
Ag2Mo1S4_111_326.vasp,Ag2Mo1S4,-13.58236045
Ag2Mo1Se4_111_327.vasp,Ag2Mo1Se4,-10.18868126
Ag2Mo6P4O28_11_328.vasp,Ag2Mo6P4O28,-200.54433153
Ag2N12_31_329.vasp,Ag2N12,-70.78406822
Ag2N2_129_333.vasp,Ag2N2,-5.21066462
Ag2N2Cl2_59_330.vasp,Ag2N2Cl2,-6.55088606
Ag2N2O2F2_31_331.vasp,Ag2N2O2F2,-21.18474221
Ag2N2O4_5_332.vasp,Ag2N2O4,-26.38010721
Ag2N4O10_1_334.vasp,Ag2N4O10,-61.01730958
Ag2N6_49_335.vasp,Ag2N6,-34.32990794
Ag2O1_191_336.vasp,Ag2O1,0.37943779
Ag2O2_10_339.vasp,Ag2O2,-4.69953876
Ag2O2_164_338.vasp,Ag2O2,-3.80902401
Ag2O2F2_59_337.vasp,Ag2O2F2,-6.63246902
Ag2O4_14_343.vasp,Ag2O4,-8.85581775
Ag2O4_2_344.vasp,Ag2O4,-9.12886771
Ag2O4F2_11_340.vasp,Ag2O4F2,-13.90818086
Ag2O4F2_17_341.vasp,Ag2O4F2,-14.43065619
Ag2O4F2_4_342.vasp,Ag2O4F2,-14.50260046
Ag2O5_21_345.vasp,Ag2O5,-8.81778739
Ag2S1_191_374.vasp,Ag2S1,0.06991379
Ag2S1Br1Cl3_1_371.vasp,Ag2S1Br1Cl3,-2.27452791
Ag2S1Br2_1_372.vasp,Ag2S1Br2,-1.06514316
Ag2S1O4_21_373.vasp,Ag2S1O4,-19.25187813
Ag2S2_10_383.vasp,Ag2S2,-2.81956914
