cif,formula,energy
OQMD-8644565.vasp,Se8Ta12,-117.16857656
OQMD-1114330.vasp,H8N4Na4,-61.45014295
OQMD-1767945.vasp,Ba10Bi6,-20.35591494
OQMD-46357.vasp,Ca2Cl2H2,-15.74914134
OQMD-2031188.vasp,Li23Sr6,-32.51782831
OQMD-9113116.vasp,Cl6Cs2S1,-10.40421159
OQMD-9711666.vasp,Ag4O14S4,-75.82394005
OQMD-1905320.vasp,F4O2Sn4,-31.00122513
OQMD-7920269.vasp,K2P2S6,-27.56184355
OQMD-926868.vasp,O3Tl1U1,-29.80854387
OQMD-2004945.vasp,Ca2O16Te6,-96.51345525
OQMD-1926182.vasp,Cr4Sb4Se12,-51.24784882
OQMD-9796998.vasp,Li8O28S8,-200.6459603
OQMD-8345564.vasp,Al2Cl14Te2,-27.94888317
OQMD-7671177.vasp,In2Pt2,-5.44877566
OQMD-7764067.vasp,Cr2Nb2O8,-73.80235363
OQMD-7782413.vasp,Al2Mg1Te4,-14.49813949
OQMD-8222841.vasp,F3Lu1,-16.3656613
OQMD-417392.vasp,Bi4Pd4Se4,-22.55637027
OQMD-9850216.vasp,Sn2Ta6,-51.49174899
OQMD-8111361.vasp,Sb2Se3,-11.80309915
OQMD-1919601.vasp,S16V4,-67.38349383
OQMD-1924851.vasp,Br2In2S8Sb4,-39.49354165
OQMD-2072084.vasp,Cl6Re12Se16Tl2,-144.97457282
OQMD-2344612.vasp,As8Mo4O28,-189.19625912
OQMD-1768288.vasp,Er4F12,-75.28252273
OQMD-9986121.vasp,Br5C2La4,-42.36184917
OQMD-2462137.vasp,F4H28N8,-174.55208228
OQMD-2012356.vasp,K8O16Se4,-90.76619641
OQMD-59415.vasp,Na2Nb2S4,-34.14970329
OQMD-9726312.vasp,N4O28S6,-163.78495902
OQMD-9772924.vasp,Li12O24Se6,-171.49272434
OQMD-1892756.vasp,Au8S6Tl4,-11.32070741
OQMD-7750839.vasp,In2Pd4Te6,-17.35779187
OQMD-5173550.vasp,O1Rb2,-4.05483636
OQMD-2011097.vasp,B4Na12O12,-125.27777595
OQMD-216413.vasp,B4Li12O12,-147.9525497
OQMD-2015359.vasp,Co9Se8,-35.61529786
OQMD-9687055.vasp,Cl4N4Zn8,-20.41101651
OQMD-9847582.vasp,H24O24Te4,-215.00729466
OQMD-3367896.vasp,O48P16Sr8,-405.11778155
OQMD-7737637.vasp,Se6Ta4,-49.49405717
OQMD-9842635.vasp,Cl4S4,-12.21314737
OQMD-3508304.vasp,Na8O36Si8Ti8,-371.56193382
OQMD-6097313.vasp,Ta1Te6V2,-25.43087848
OQMD-7666413.vasp,Hf2Zn44,69.89085864
OQMD-38327.vasp,Li2Se1,-7.8658499
OQMD-5237223.vasp,Br18Re6,-54.06900023
OQMD-5218116.vasp,Fe2O8P2,-54.3783349
OQMD-9560211.vasp,Pb1Te1,0.12153435
OQMD-9466638.vasp,Au4Br8Cl4,0.56258555
OQMD-1772574.vasp,Ba6Sb12,-39.83944233
OQMD-1771688.vasp,Co8Ru1S8,-47.96437398
OQMD-2070393.vasp,Se12Ti24,-187.12011259
OQMD-9780081.vasp,K4O28P8V4,-237.07443266
OQMD-4737552.vasp,Ga2Li2Te4,-15.39168583
OQMD-9852605.vasp,As4Li2Nd2,-29.10109724
OQMD-179091.vasp,Pb8Pt2,-16.01633063
OQMD-5183021.vasp,Na8S12Te4,-56.33795225
OQMD-9032326.vasp,I16Sn4,-5.22514919
OQMD-47441.vasp,Pd2Tl4,-1.25591978
OQMD-9780078.vasp,B14Li6O24,-283.54070649
OQMD-9631888.vasp,Bi4Eu2,-9.75676621
OQMD-7747285.vasp,In4S4Te2,-20.82667701
OQMD-3773998.vasp,H6Na2O6Pd1,-58.17213121
OQMD-2026064.vasp,Cd4Na4O16P4,-118.27852389
OQMD-47546.vasp,W4Zr2,-34.33675982
OQMD-178185.vasp,As6W4,-44.84549943
OQMD-2024230.vasp,O16Rb2V6,-127.22006571
OQMD-2023407.vasp,Cr4F20,-61.02355944
OQMD-7757187.vasp,Cd1I2O2Pb2,-12.41170348
OQMD-6756893.vasp,Br6Ti1Zr1,-21.84406069
OQMD-7779347.vasp,P2V2,-18.18675795
OQMD-44916.vasp,O2S1Tm2,-30.52903571
OQMD-9682838.vasp,N8Zr7,-111.93242626
OQMD-6594292.vasp,Rh4Sr2,-9.18470773
OQMD-516825.vasp,Fe6Ge6Lu1,-27.76014186
OQMD-8462068.vasp,I2Ni2Se2,-3.25642517
OQMD-180103.vasp,F8Ir2,-20.22682451
OQMD-1281894.vasp,Ca4O8Pb2,-52.98766826
OQMD-9937425.vasp,Mn16O48Te8,-314.31144727
OQMD-182359.vasp,P1Te2Zr2,-20.73862273
OQMD-9716791.vasp,Cu8P16Se8,-82.59758425
OQMD-9921216.vasp,Mo18O52,-363.44074792
OQMD-3716442.vasp,Ca1S1,-5.89132318
OQMD-9005620.vasp,S6Tl4Zr2,-37.44929073
OQMD-9219012.vasp,Fe4I16Tl4,-2.49665299
OQMD-8607916.vasp,Ni4P8,-38.22647802
OQMD-182218.vasp,Cd2Eu1P2,-8.62022995
OQMD-4498341.vasp,I4Re12Se16,-134.53390378
OQMD-516540.vasp,O7Tl4V2,-52.69309845
OQMD-6333704.vasp,Pb1S2Sr1,-11.91642476
OQMD-9181595.vasp,Br6Y2,-23.23882665
OQMD-1893739.vasp,Sb4Ta2,-25.16399233
OQMD-1299697.vasp,F12Mn1Sb2,-38.7960701
OQMD-2325754.vasp,Cl28Nb12,-132.25738657
OQMD-9777209.vasp,Ag24Ba4O16,-62.29959139
OQMD-2066180.vasp,H24O12,-155.02360363
OQMD-9466616.vasp,Ni4Ta4Te8,-43.69409812
OQMD-49427.vasp,Br4Hg2,2.561504
OQMD-8632858.vasp,C10Sm8,-105.37728386
OQMD-59960.vasp,F6Pu2,-43.15800762
OQMD-2004339.vasp,B6K6S12,-82.72677148
OQMD-2028735.vasp,Nb4P2S20Tl2,-104.0997213
OQMD-2017571.vasp,Au2Na2O16S4,-91.44397672
OQMD-38859.vasp,Li3,-4.50776318
OQMD-3500671.vasp,N12O40V4,-269.00574299
OQMD-9439068.vasp,Ir2O8Ru2,-54.09500181
OQMD-6292234.vasp,Br2Cl8Nb2,-28.22379185
OQMD-1799227.vasp,C2Cl10Sc7,-69.34554678
OQMD-37897.vasp,B2Hf1,-19.2840379
OQMD-9783563.vasp,H28Na12Ru4,-121.03078806
OQMD-2004260.vasp,Bi16Zr8,-34.45172338
OQMD-41906.vasp,Ag4,2.89349146
OQMD-7741755.vasp,Br4F4Sn4,-23.46563359
OQMD-7745119.vasp,Cs4O6Se2,-36.90699739
OQMD-1654028.vasp,Cu6P2Se8,-24.38594324
OQMD-38408.vasp,Ge1Te1,-2.92648265
OQMD-8582838.vasp,Cl6Pd1Se2,-9.34346289
OQMD-85372.vasp,Ir3Te6,-21.99152124
OQMD-2003511.vasp,O12Pb4Rb8,-64.83602712
OQMD-9431449.vasp,Br2I6Sn2,-3.88953941
OQMD-7757207.vasp,Al2P2Se8,-32.81649514
OQMD-50190.vasp,Rb2Te5,-7.80867614
OQMD-2011090.vasp,P8Pd8S8,-77.4667327
OQMD-9901977.vasp,Ir24Si40,-300.50132457
OQMD-1078537.vasp,Al4H4O8,-75.07797977
OQMD-4118050.vasp,Se3,-6.92396566
OQMD-9850394.vasp,B4W4,-51.9482841
OQMD-9442229.vasp,Br8Cd2Cs4,-9.76472402
OQMD-4483889.vasp,As2Na1Pd2,-10.38557126
OQMD-2026439.vasp,O16S4Tl8,-102.25491688
OQMD-43024.vasp,Ag2Hf2,-10.15167794
OQMD-8319274.vasp,As1Te2Tl1,-6.3171332
OQMD-1173825.vasp,H4Mn2O10S2,-79.52768847
OQMD-2027097.vasp,As8O16Pb4,-118.46469062
OQMD-1897300.vasp,In12Ir4,-30.01261272
OQMD-9628302.vasp,Ca2H2I2,-12.20581326
OQMD-5176322.vasp,Br30Ta6,-77.9629168
OQMD-3713220.vasp,Bi1Tm1,-3.58901841
OQMD-8160247.vasp,H2Na2Se2,-14.46912384
OQMD-52407.vasp,As2Cd1K4,-2.31253064
OQMD-9396111.vasp,Se1Te1Ti1,-12.16499764
OQMD-9784109.vasp,In4Na4O28P8,-226.25916267
OQMD-7754197.vasp,F6Na1Nb1,-253.04629859
OQMD-9125753.vasp,Bi2I6,-3.91803221
OQMD-1284361.vasp,O10P2V2,-79.62761815
OQMD-1893593.vasp,Ge4Ni4,-13.82547151
OQMD-2357278.vasp,As6In4Na6O24,-168.66530245
OQMD-7923425.vasp,Hg3O3,-4.62507221
OQMD-2004003.vasp,Au8Te16,-4.37703997
OQMD-9416433.vasp,Cl4Li2Zn1,-12.74486484
OQMD-2037082.vasp,Co8Ge12Se12,-90.32633819
OQMD-7745865.vasp,As4K5,-11.47312439
OQMD-1767808.vasp,Br12Cs4,-10.05467601
OQMD-8367631.vasp,I2Se2Tm2,-17.18580136
OQMD-2064726.vasp,O22Si4Sr4Ti5,-226.84442944
OQMD-55297.vasp,S4Sn4,-15.8284124
OQMD-232937.vasp,Li6O24Re6,-200.55410411
OQMD-613355.vasp,P2Pd3S8,-35.81627396
OQMD-1083876.vasp,Cl2H2Sr2,-15.77953925
OQMD-3296772.vasp,Ga41V8,-109.24183343
OQMD-5183168.vasp,Ca2O8W2,-70.63431783
OQMD-2011630.vasp,Cd8Ge4O16,-86.05956656
OQMD-2073930.vasp,Co8O20Sr8,-144.87260052
OQMD-2035526.vasp,Cl24Na4Ta4,-83.75435913
OQMD-9718914.vasp,F4Ge2H4K4O16P4,-155.89698222
OQMD-2006133.vasp,Cl18Tc6,-69.92039541
OQMD-8205883.vasp,Cl12K4Mo2,-31.1003258
OQMD-5217531.vasp,B2H8Rb2,-40.99811429
OQMD-7777173.vasp,Ni4Se6Ta2,-30.99518118
OQMD-3954741.vasp,Pd6S2,-12.26573009
OQMD-8483182.vasp,Cu2Mn4Te8,-19.03392167
OQMD-9712513.vasp,Nb8Ni2S16,-119.29302046
OQMD-8113323.vasp,Br6Mg3,-13.84173508
OQMD-1283632.vasp,Cu4O8Y2,-58.04864784
OQMD-9436671.vasp,F10Pa2,-56.72852271
OQMD-7780443.vasp,Pd4Te6Tl2,-16.21640448
OQMD-1926089.vasp,S12Sn4Zr4,-78.07688255
OQMD-9725190.vasp,Pb16Tb20,-78.06426274
OQMD-191221.vasp,Al4Li4S8,-59.31311495
OQMD-7744123.vasp,Nb2P2Si2,-33.55738174
OQMD-2323282.vasp,F28K4Sb8,-111.14098664
OQMD-1283427.vasp,Cu2Ge8Zr4,-49.52277182
OQMD-5182253.vasp,Br6Nb2O2,-33.28806634
OQMD-4744937.vasp,Br6Cs2Ru1,-9.33139915
OQMD-7790331.vasp,Br6Tm2,-18.63592297
OQMD-9095503.vasp,Cl4Pd1Tl2,-7.39274062
OQMD-8537958.vasp,C4O12V4,-115.84315045
OQMD-5179152.vasp,Pd2S2,-8.44052536
OQMD-2066461.vasp,Nb8O24Zn4,-213.48924722
OQMD-8116665.vasp,Br8Cd4,-0.23860645
OQMD-8549101.vasp,C12Eu8,-121.71278603
OQMD-38380.vasp,Cs1F1,-2.67492106
OQMD-1942002.vasp,O14Sb2Y6,-143.95029847
OQMD-1928275.vasp,F8K4N4O4,-63.23958419
OQMD-805332.vasp,Mg4O20Se8,-126.04221643
OQMD-2065651.vasp,Na10O20P6,-176.33434128
OQMD-9664719.vasp,N6W4,-71.3287348
OQMD-1919789.vasp,Ge12Pt8,-64.54663478
OQMD-9177776.vasp,Cl27Hg9K9,-24.23000961
OQMD-9705722.vasp,Fe2K2N2O14P2,-101.03574323
OQMD-1919960.vasp,B4Rb4S12,-67.23165913
OQMD-1940935.vasp,O14V4Zn4,-96.65759229
OQMD-2025787.vasp,Nb4Pd6Se16,-77.43512691
OQMD-134568.vasp,Hf5Te4,-39.70504171
OQMD-6977020.vasp,Ge14H16N4O30,-306.10164977
OQMD-179005.vasp,Ba2Bi2I2O4,-33.81341741
OQMD-9586366.vasp,Gd2I6,-13.17789184
OQMD-9181365.vasp,Cl8Sr4,-28.79643924
OQMD-1767947.vasp,P12Tc4,-90.13997499
OQMD-327445.vasp,Pt4Te6Tl2,-20.39839246
OQMD-1283660.vasp,Ba4Br2In2O6,-53.29519451
OQMD-2003370.vasp,Cl18Re6,-65.71159382
OQMD-183052.vasp,As1Cu3Se4,-10.89050381
OQMD-2017391.vasp,Au4Br16K4,-8.97895948
OQMD-8418759.vasp,Co2O8Te2,-46.09880907
OQMD-1230637.vasp,Br8Ga2Pd1,-11.04592919
OQMD-1892505.vasp,I4Pd4Te4,-8.76882712
OQMD-1770128.vasp,H16S8,-77.56487886
OQMD-928404.vasp,Ba1O3Sn1,-23.50198984
OQMD-1901561.vasp,Al1B2,-9.95357601
OQMD-7767491.vasp,Br2Rh2Se2,-11.6327193
OQMD-5186056.vasp,Cl12K4Te2,-23.2731147
OQMD-42493.vasp,Ni3Ta1,-6.44329043
OQMD-8147379.vasp,I16,6.33828577
OQMD-1119286.vasp,As3H5O10,-79.04794163
OQMD-7745235.vasp,Cl6Tb2,-23.51733676
OQMD-2027386.vasp,Nb8Si4Te16,-101.25125707
OQMD-9639846.vasp,Mo2S4,-22.59671171
OQMD-7740339.vasp,Ca4Ir8,-33.36416517
OQMD-7734327.vasp,Nb4Sb4Sn4,-44.65597124
OQMD-1905550.vasp,Rb4S6,-19.91244647
OQMD-2027681.vasp,Rb8S20,-61.18357024
OQMD-48325.vasp,Br2Lu2S2,-21.33938734
OQMD-8554516.vasp,Ca1Pb3,-1.33409091
OQMD-7832745.vasp,Br2Ca1H4O2,-30.062909
OQMD-2012300.vasp,Ag8I8O24,-84.14664917
OQMD-7771721.vasp,Na4Pd2,-3.13454043
OQMD-8349846.vasp,Hg4P4S12,-42.27146865
OQMD-2066716.vasp,As12K12Na8Sn4,-49.98218857
OQMD-38076.vasp,Hf2Hg1,-10.01400803
OQMD-1926187.vasp,Ce8S12,-93.86164318
OQMD-1768396.vasp,Ba6Pb10,-17.11343332
OQMD-8514532.vasp,F12Li2Mn4,-57.18187625
OQMD-47489.vasp,Pb4Pd2,-5.89451554
OQMD-46469.vasp,Ba2Cl2H2,-16.51340562
OQMD-1767830.vasp,O10Pb4S2,-65.92168748
OQMD-2267993.vasp,O24Tb16,-261.07677079
OQMD-6169860.vasp,Nb2Ni4Se4Te2,-26.55056655
OQMD-9216015.vasp,F8K4O2Se2,-39.80094732
OQMD-9724943.vasp,C6F4K4O18Pb6,-176.18299863
OQMD-9408014.vasp,As2Cl2O2,-19.23445878
OQMD-2069821.vasp,Fe8K12Se16,-50.43874139
OQMD-9698399.vasp,Te12Tm8,-59.7990994
OQMD-5177417.vasp,Br8Eu4,-28.16215277
OQMD-7746393.vasp,As4Rb5,-11.17083251
OQMD-42657.vasp,I2La2,-8.93405233
OQMD-7732905.vasp,Br2Se8W2,-32.46214366
OQMD-83158.vasp,F6Ru2,-20.56906849
OQMD-8333626.vasp,Cl7Nb3Te1,-34.81692757
OQMD-9359854.vasp,Ba4Zn2,3.53884045
OQMD-418352.vasp,Ca4Li8,-11.17264989
OQMD-3491456.vasp,Ag30K6S18,-36.14071028
OQMD-8468265.vasp,F6K2S1,-19.33043108
OQMD-9450778.vasp,Cl6K1Os1,-11.52857354
OQMD-7772845.vasp,Li3P1Se4,-22.56805355
OQMD-9930091.vasp,Ga1Pd8,-9.88573731
OQMD-2014635.vasp,Co4Ge8,-36.40747076
OQMD-680595.vasp,Ce1Sn3,-6.3699074
OQMD-2071236.vasp,Mn4O24P8,-194.02304862
OQMD-9184444.vasp,B4F12,-59.4895152
OQMD-2063313.vasp,O26Re4S4,-171.66054271
OQMD-9813138.vasp,I32Zn16,15.20053622
OQMD-42234.vasp,Si3U1,-22.51427282
OQMD-6979388.vasp,Bi2Cu2P4Se12,-44.99233461
OQMD-4119447.vasp,Be2Co2,-11.43096109
OQMD-128027.vasp,Cl2Hg1O2Pb2,-13.83943846
OQMD-58443.vasp,Cu3Se4Ta1,-17.76140031
OQMD-8619367.vasp,Au2Ba5O8,-54.18239419
OQMD-9191121.vasp,Te6V4,-25.48334016
OQMD-1926543.vasp,Ag8Ba4Te8,-19.49392703
OQMD-4764704.vasp,Na2P2Zn2,-7.53904573
OQMD-43817.vasp,Ca1Ir1Si3,-19.50881351
OQMD-8574448.vasp,Ta4Te2,-34.1607758
OQMD-1286010.vasp,Pt2Ta2Te10,-36.41597526
OQMD-1895859.vasp,Ge4Li8Zn4,-23.42835804
OQMD-1077045.vasp,H6Na2O6Pt1,-59.71216
OQMD-7759023.vasp,Cr1Cu3Se4,-11.71587269
OQMD-9433666.vasp,Hg2Pt4Te6,-14.50357969
OQMD-55167.vasp,Ge4Th2,-27.10045125
OQMD-9225641.vasp,As4Hf4,-43.8946975
OQMD-4790816.vasp,Br4Cd4H4O4,-32.68747282
OQMD-6978408.vasp,B8H32Li8O32,-401.33849582
OQMD-8332575.vasp,Br4Cl4Ta2,-26.71156087
OQMD-46386.vasp,Hf2Si4,-31.72797072
OQMD-1891833.vasp,Er2I2Se2,-17.25066658
OQMD-10047119.vasp,Be16H64N32,-552.58519808
OQMD-9431145.vasp,Ag2O6V2,-41.80933069
OQMD-59918.vasp,As2Li2S4,-25.52092741
OQMD-1280905.vasp,Co4Cu2S8,-35.49654818
OQMD-188302.vasp,B4Li4O8,-95.89354512
OQMD-2025973.vasp,Mn3O18Sb6,-120.47441488
OQMD-2000943.vasp,Cd2H4O4,-32.03245956
OQMD-59757.vasp,Ba4Cu4,1.92849172
OQMD-9111694.vasp,Ag2Al2S4,-20.71663668
OQMD-7782113.vasp,Cu2P1,-1.19969765
OQMD-6975964.vasp,O36Se12Tl8,-185.4319475
OQMD-9716075.vasp,C6Na6O18Y2,-183.98860262
OQMD-108898.vasp,F6Pd1Pt1,-11.88420503
OQMD-1890494.vasp,Lu1Sb1,-4.98808676
OQMD-2357206.vasp,K2Mo6O28P4,-209.4833971
OQMD-2047214.vasp,Ga8Se16Tl8,-63.92587322
OQMD-8367104.vasp,I2S2Y2,-23.89531001
OQMD-3488262.vasp,H8O32P8Zr4,-301.99713142
OQMD-4115997.vasp,Tl2,0.42463584
OQMD-2029378.vasp,Ba4Fe8O16,-108.48169758
OQMD-7785509.vasp,Br8Mo2,-11.82649624
OQMD-1280932.vasp,Ag4Mo2O8,-46.31079043
OQMD-9700606.vasp,B4H16Zn2,-73.52052658
OQMD-181387.vasp,Mg2P2Se6,-25.99567727
OQMD-2012527.vasp,Co1Ga1,-6.69627009
OQMD-7904689.vasp,Co1H1O2,-17.10716983
OQMD-2011785.vasp,Ge8S20Tl8,-93.83812275
OQMD-7769999.vasp,Cu6S4,-5.26522791
OQMD-9435033.vasp,Br4In4S4,-22.39965799
OQMD-184775.vasp,Mn2O8S2,-52.84899557
OQMD-34380.vasp,Ca1Pb1,0.0169841
OQMD-2034928.vasp,As8S16Tl8,-86.66024815
OQMD-2029355.vasp,Ag12S12Sb4,-40.90621256
OQMD-9441267.vasp,Ba2O8Sn3,-58.59639091
OQMD-55365.vasp,P4Ti4,-50.44444816
OQMD-3367988.vasp,S36Sb16Sr12,-149.70767965
OQMD-37641.vasp,B2Ti1,-19.5796731
OQMD-7752639.vasp,Cl6Na3Tb1,-24.22969541
OQMD-2025607.vasp,O14Pb8Rb4,-80.70555472
OQMD-418377.vasp,Hf4Mn8,-42.48476882
OQMD-1285747.vasp,Pd1Pt1,-3.04151443
OQMD-184624.vasp,Pd4S8,-27.81374645
OQMD-45651.vasp,Ba2Ni3,2.96803334
OQMD-1892586.vasp,Te4Zr12,-62.08440896
OQMD-417551.vasp,I2Ta2Te8,-29.38299907
OQMD-9667770.vasp,As2Au2O8,-39.85687462
OQMD-7744021.vasp,F6Ni1Zr1,-26.8283834
OQMD-7743263.vasp,Sm2Sn6,-9.90561199
